run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline
2073,14,0.5202,0.6517,0.651,22.25,370.92,0.7181208053691275
2073,15,0.5206,0.6569,0.6577,22.38,395.27,0.7181208053691275
2073,16,0.5213,0.6577,0.6577,22.54,420.27,0.7181208053691275
2073,17,0.5214,0.6599,0.6711,22.83,454.45,0.7181208053691275
2073,18,0.5216,0.6622,0.6779,23.18,487.71,0.7181208053691275
2073,19,0.5217,0.6652,0.6711,23.18,520.02,0.7181208053691275
2073,20,0.5226,0.6689,0.6779,23.59,570.01,0.7181208053691275
2073,21,0.5232,0.6727,0.6779,23.59,606.04,0.7181208053691275
2073,22,0.5236,0.6749,0.6779,23.46,640.93,0.7181208053691275
2073,23,0.5238,0.6787,0.6711,23.37,679.11,0.7181208053691275
2073,24,0.5242,0.6801,0.6779,23.25,720.48,0.7181208053691275
2073,25,0.5242,0.6831,0.6779,23.19,758.67,0.7181208053691275
2073,26,0.524,0.6846,0.6779,23.31,803.99,0.7181208053691275
2073,27,0.5242,0.6876,0.6779,23.31,833.61,0.7181208053691275
2073,28,0.5242,0.6884,0.6846,23.43,862.45,0.7181208053691275
2073,29,0.5244,0.6921,0.6846,23.48,891.13,0.7181208053691275
2073,30,0.5244,0.6929,0.6913,23.61,931.15,0.7181208053691275
2073,31,0.5242,0.6951,0.6913,23.65,984.9,0.7181208053691275
2073,32,0.5242,0.6996,0.6913,23.84,1067.36,0.7181208053691275
2073,33,0.5239,0.6996,0.6913,23.97,1190.38,0.7181208053691275
2073,34,0.5239,0.7004,0.6913,24.14,1334.28,0.7181208053691275
2073,35,0.5233,0.7004,0.6913,24.26,1480.19,0.7181208053691275
2073,36,0.5231,0.7004,0.6913,24.42,1632.69,0.7181208053691275
2073,37,0.5229,0.7049,0.6913,24.45,1780.94,0.7181208053691275
2073,38,0.5226,0.7064,0.6913,24.64,1950.37,0.7181208053691275
2073,39,0.5223,0.7071,0.6913,24.85,2140.97,0.7181208053691275
2073,40,0.5219,0.7071,0.6913,25.08,2328.18,0.7181208053691275
2073,41,0.5217,0.7109,0.698,25.27,2555.45,0.7181208053691275
2073,42,0.5215,0.7146,0.698,25.48,2792.51,0.7181208053691275
2073,43,0.5213,0.7206,0.698,25.64,3063.58,0.7181208053691275
2073,44,0.521,0.7221,0.698,25.95,3356.96,0.7181208053691275
2073,45,0.5207,0.7273,0.698,26.14,3768.02,0.7181208053691275
2073,46,0.5203,0.7311,0.698,26.3,4313.03,0.7181208053691275
2073,47,0.52,0.7348,0.698,26.74,4867.31,0.7181208053691275
2073,48,0.5197,0.7386,0.698,27.03,5504.87,0.7181208053691275
2073,49,0.5192,0.7461,0.698,27.41,6166.54,0.7181208053691275
168784,0,0.6192,0.7377,0.7282,4.61,136.07,0.8102564102564103
168784,1,0.6192,0.7377,0.7282,4.61,136.07,0.8102564102564103
168784,2,0.6304,0.7663,0.7333,6.18,243.97,0.8102564102564103
168784,3,0.6363,0.7892,0.7385,7.22,325.53,0.8102564102564103
168784,4,0.6403,0.8013,0.7487,7.92,376.88,0.8102564102564103
168784,5,0.6442,0.8076,0.759,8.46,415.78,0.8102564102564103
168784,6,0.6466,0.8162,0.759,8.93,462.0,0.8102564102564103
168784,7,0.6491,0.8247,0.759,9.28,517.08,0.8102564102564103
168784,8,0.6512,0.831,0.759,9.4,584.03,0.8102564102564103
168784,9,0.6526,0.8373,0.7538,9.68,687.92,0.8102564102564103
168784,10,0.6533,0.8408,0.7538,9.64,816.8,0.8102564102564103
168784,11,0.654,0.8482,0.759,9.98,982.61,0.8102564102564103
168784,12,0.6542,0.8574,0.759,10.16,1161.48,0.8102564102564103
168784,13,0.6546,0.8637,0.7641,10.17,1319.28,0.8102564102564103
168784,14,0.6552,0.87,0.759,10.32,1490.74,0.8102564102564103
168784,15,0.656,0.8757,0.759,10.39,1694.36,0.8102564102564103
168784,16,0.6559,0.8809,0.7641,10.32,1885.96,0.8102564102564103
168784,17,0.6564,0.8855,0.7641,10.26,2085.55,0.8102564102564103
168784,18,0.6565,0.89,0.7692,10.18,2283.68,0.8102564102564103
168784,19,0.6565,0.8963,0.7744,10.07,2473.1,0.8102564102564103
168784,20,0.6566,0.9026,0.7744,9.99,2625.46,0.8102564102564103
168784,21,0.6569,0.9061,0.7692,9.9,2776.04,0.8102564102564103
168784,22,0.6571,0.9107,0.7795,9.95,2933.92,0.8102564102564103
