run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline,RF_height
359954,0,10,3,0.485,0.578,0.554,6.88,41.251,0.635,5.624
359954,0,10,4,0.496,0.611,0.568,6.243,37.769,0.635,5.624
359954,0,10,5,0.498,0.626,0.581,5.897,36.094,0.635,5.624
359954,0,10,6,0.502,0.635,0.595,5.591,34.644,0.635,5.624
359954,0,10,7,0.507,0.65,0.581,5.423,33.878,0.635,5.624
359954,0,10,8,0.507,0.648,0.581,5.355,33.921,0.635,5.624
359954,0,10,9,0.51,0.664,0.608,5.289,37.399,0.635,5.624
359954,0,10,10,0.512,0.669,0.622,5.173,39.322,0.635,5.624
359954,0,10,11,0.513,0.669,0.635,5.18,39.031,0.635,5.624
359954,0,10,12,0.516,0.673,0.649,5.049,38.193,0.635,5.624
359954,0,10,13,0.517,0.669,0.649,4.907,36.606,0.635,5.624
359954,0,10,14,0.518,0.673,0.649,4.745,34.962,0.635,5.624
359954,0,10,15,0.519,0.675,0.635,4.647,33.673,0.635,5.624
359954,0,10,16,0.52,0.679,0.649,4.582,32.541,0.635,5.624
359954,0,10,17,0.522,0.679,0.662,4.498,31.431,0.635,5.624
359954,0,10,18,0.522,0.681,0.649,4.473,30.532,0.635,5.624
359954,0,10,19,0.523,0.682,0.662,4.506,29.778,0.635,5.624
359954,0,10,20,0.525,0.682,0.662,4.486,28.92,0.635,5.624
359954,0,10,21,0.526,0.686,0.649,4.477,28.193,0.635,5.624
359954,0,10,22,0.527,0.696,0.622,4.463,27.525,0.635,5.624
359954,0,10,23,0.528,0.696,0.608,4.474,26.888,0.635,5.624
359954,0,10,24,0.528,0.699,0.595,4.407,26.12,0.635,5.624
359954,0,10,25,0.529,0.696,0.635,4.418,25.507,0.635,5.624
359954,0,10,26,0.53,0.698,0.635,4.371,24.817,0.635,5.624
359954,0,10,27,0.53,0.698,0.608,4.345,24.156,0.635,5.624
359954,0,10,28,0.53,0.699,0.608,4.369,23.693,0.635,5.624
359954,0,10,29,0.531,0.705,0.608,4.382,23.202,0.635,5.624
359954,0,10,30,0.531,0.703,0.608,4.385,22.729,0.635,5.624
359954,0,10,31,0.532,0.707,0.595,4.362,22.264,0.635,5.624
359954,0,10,32,0.533,0.703,0.595,4.315,21.857,0.635,5.624
359954,0,10,33,0.533,0.703,0.595,4.276,21.4,0.635,5.624
359954,0,10,34,0.534,0.701,0.595,4.236,21.029,0.635,5.624
359954,0,10,35,0.534,0.699,0.595,4.202,20.593,0.635,5.624
359954,0,10,36,0.535,0.698,0.595,4.192,20.196,0.635,5.624
359954,0,10,37,0.535,0.698,0.595,4.203,19.893,0.635,5.624
359954,0,10,38,0.535,0.699,0.608,4.184,19.549,0.635,5.624
359954,0,10,39,0.536,0.699,0.608,4.194,19.271,0.635,5.624
359954,0,10,40,0.536,0.699,0.608,4.211,18.962,0.635,5.624
359954,0,10,41,0.536,0.696,0.608,4.244,18.832,0.635,5.624
359954,0,10,42,0.536,0.696,0.608,4.293,18.76,0.635,5.624
359954,0,10,43,0.536,0.69,0.608,4.283,18.492,0.635,5.624
359954,0,10,44,0.536,0.694,0.608,4.254,18.203,0.635,5.624
359954,0,10,45,0.537,0.696,0.635,4.25,17.959,0.635,5.624
359954,0,10,46,0.537,0.694,0.649,4.252,17.699,0.635,5.624
359954,0,10,47,0.538,0.698,0.649,4.243,17.505,0.635,5.624
359954,0,10,48,0.538,0.699,0.649,4.217,17.259,0.635,5.624
359954,0,10,49,0.538,0.698,0.649,4.185,17.037,0.635,5.624
190146,8,2,0,0.59,0.745,0.694,5.233,47.306,0.776,4.639
190146,8,2,1,0.59,0.745,0.694,5.233,47.306,0.776,4.639
190146,8,2,2,0.597,0.762,0.694,5.192,48.81,0.776,4.639
190146,8,2,3,0.604,0.762,0.694,4.933,53.035,0.776,4.639
190146,8,2,4,0.608,0.765,0.718,4.78,59.874,0.776,4.639
190146,8,2,5,0.614,0.778,0.729,4.694,66.692,0.776,4.639
190146,8,2,6,0.617,0.788,0.718,4.843,78.043,0.776,4.639
190146,8,2,7,0.62,0.793,0.718,4.934,92.147,0.776,4.639
190146,8,2,8,0.619,0.791,0.718,5.141,100.984,0.776,4.639
190146,8,2,9,0.62,0.793,0.729,5.31,107.058,0.776,4.639
190146,8,2,10,0.621,0.798,0.706,5.409,112.455,0.776,4.639
190146,8,2,11,0.622,0.804,0.706,5.444,116.627,0.776,4.639
190146,8,2,12,0.624,0.816,0.706,5.358,124.913,0.776,4.639
190146,8,2,13,0.625,0.819,0.706,5.365,132.051,0.776,4.639
190146,8,2,14,0.627,0.824,0.706,5.371,147.355,0.776,4.639
190146,8,2,15,0.629,0.824,0.706,5.453,159.682,0.776,4.639
190146,8,2,16,0.629,0.824,0.718,5.515,166.158,0.776,4.639
190146,8,2,17,0.63,0.837,0.706,5.536,176.028,0.776,4.639
190146,8,2,18,0.631,0.844,0.706,5.622,185.656,0.776,4.639
190146,8,2,19,0.632,0.854,0.706,5.666,194.301,0.776,4.639
190146,8,2,20,0.633,0.86,0.694,5.702,203.795,0.776,4.639
190146,8,2,21,0.634,0.863,0.694,5.777,215.247,0.776,4.639
190146,8,2,22,0.636,0.875,0.694,5.799,222.679,0.776,4.639
190146,8,2,23,0.636,0.875,0.694,5.903,232.123,0.776,4.639
190146,8,2,24,0.637,0.877,0.694,5.901,239.115,0.776,4.639
190146,8,2,25,0.638,0.88,0.694,5.903,245.591,0.776,4.639
190146,8,2,26,0.639,0.882,0.694,5.893,245.474,0.776,4.639
190146,8,2,27,0.639,0.883,0.694,5.897,247.145,0.776,4.639
190146,8,2,28,0.64,0.885,0.694,5.925,248.996,0.776,4.639
190146,8,2,29,0.641,0.888,0.694,5.958,252.337,0.776,4.639
190146,8,2,30,0.641,0.888,0.694,5.91,252.387,0.776,4.639
190146,8,2,31,0.642,0.89,0.682,5.841,253.262,0.776,4.639
190146,8,2,32,0.643,0.893,0.682,5.794,253.548,0.776,4.639
190146,8,2,33,0.643,0.893,0.694,5.721,254.364,0.776,4.639
190146,8,2,34,0.644,0.898,0.694,5.659,256.273,0.776,4.639
190146,8,2,35,0.645,0.898,0.694,5.606,255.608,0.776,4.639
190146,8,2,36,0.645,0.9,0.694,5.557,255.137,0.776,4.639
190146,8,2,37,0.646,0.903,0.694,5.519,255.041,0.776,4.639
190146,8,2,38,0.646,0.906,0.694,5.523,254.286,0.776,4.639
190146,8,2,39,0.647,0.906,0.694,5.509,254.453,0.776,4.639
190146,8,2,40,0.647,0.908,0.694,5.503,254.515,0.776,4.639
190146,8,2,41,0.647,0.91,0.694,5.484,256.758,0.776,4.639
190146,8,2,42,0.647,0.911,0.694,5.44,259.082,0.776,4.639
190146,8,2,43,0.647,0.911,0.694,5.433,261.231,0.776,4.639
190146,8,2,44,0.648,0.916,0.694,5.397,261.693,0.776,4.639
190146,8,2,45,0.648,0.916,0.694,5.357,261.685,0.776,4.639
190146,8,2,46,0.649,0.916,0.694,5.325,261.736,0.776,4.639
190146,8,2,47,0.649,0.916,0.694,5.29,261.106,0.776,4.639
190146,8,2,48,0.649,0.919,0.694,5.266,261.094,0.776,4.639
190146,8,2,49,0.649,0.919,0.694,5.282,262.246,0.776,4.639
359959,5,10,0,0.448,0.427,0.426,7.27,65.326,0.574,2.56
