run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline,RF_height,RF_leaves,RF_avg
359954,5,10,21,0.556,0.635,21.161,1847.088,0.635,5.596,115.575,0.505
359954,5,10,22,0.556,0.649,21.095,1847.515,0.635,5.596,115.575,0.505
359954,5,10,23,0.556,0.649,20.985,1818.298,0.635,5.596,115.575,0.505
359954,5,10,24,0.556,0.649,20.943,1834.742,0.635,5.596,115.575,0.505
359954,5,10,25,0.556,0.649,21.233,1852.192,0.635,5.596,115.575,0.505
359954,5,10,26,0.557,0.662,21.142,1844.8,0.635,5.596,115.575,0.505
359954,5,10,27,0.557,0.662,21.187,1853.642,0.635,5.596,115.575,0.505
359954,5,10,28,0.557,0.662,21.064,1838.135,0.635,5.596,115.575,0.505
359954,5,10,29,0.556,0.662,21.127,1839.889,0.635,5.596,115.575,0.505
359954,5,10,30,0.557,0.649,21.082,1836.464,0.635,5.596,115.575,0.505
359954,5,10,31,0.558,0.649,20.992,1823.937,0.635,5.596,115.575,0.505
359954,5,10,32,0.558,0.635,20.862,1805.362,0.635,5.596,115.575,0.505
359954,5,10,33,0.558,0.635,20.801,1809.795,0.635,5.596,115.575,0.505
359954,5,10,34,0.558,0.649,20.888,1830.973,0.635,5.596,115.575,0.505
359954,5,10,35,0.558,0.649,20.873,1858.168,0.635,5.596,115.575,0.505
359954,5,10,36,0.558,0.662,20.783,1850.394,0.635,5.596,115.575,0.505
359954,5,10,37,0.558,0.662,20.963,1867.966,0.635,5.596,115.575,0.505
359954,5,10,38,0.558,0.662,21.076,1860.046,0.635,5.596,115.575,0.505
359954,5,10,39,0.558,0.662,21.232,1884.478,0.635,5.596,115.575,0.505
359954,5,10,40,0.559,0.662,21.134,1873.503,0.635,5.596,115.575,0.505
359954,5,10,41,0.559,0.662,21.119,1867.757,0.635,5.596,115.575,0.505
359954,5,10,42,0.559,0.649,21.327,1887.513,0.635,5.596,115.575,0.505
359954,5,10,43,0.559,0.649,21.311,1896.205,0.635,5.596,115.575,0.505
359954,5,10,44,0.559,0.649,21.367,1896.469,0.635,5.596,115.575,0.505
359954,5,10,45,0.559,0.649,21.424,1893.212,0.635,5.596,115.575,0.505
359954,5,10,46,0.559,0.649,21.383,1887.97,0.635,5.596,115.575,0.505
359954,5,10,47,0.559,0.649,21.535,1894.662,0.635,5.596,115.575,0.505
359954,5,10,48,0.559,0.649,21.616,1900.453,0.635,5.596,115.575,0.505
359954,5,10,49,0.559,0.649,21.702,1903.77,0.635,5.596,115.575,0.505
359959,14,2,0,0.513,0.622,24.637,11347.747,0.52,2.82,211.334,0.435
359959,14,2,1,0.513,0.622,24.637,11347.747,0.52,2.82,211.334,0.435
359959,14,2,2,0.512,0.601,26.08,11215.074,0.52,2.82,211.334,0.435
359959,14,2,3,0.512,0.574,28.062,12271.978,0.52,2.82,211.334,0.435
359959,14,2,4,0.512,0.574,29.257,12227.802,0.52,2.82,211.334,0.435
359959,14,2,5,0.512,0.574,30.232,12171.993,0.52,2.82,211.334,0.435
359959,14,2,6,0.512,0.568,30.256,12664.321,0.52,2.82,211.334,0.435
359959,14,2,7,0.512,0.581,30.722,13052.923,0.52,2.82,211.334,0.435
359959,14,2,8,0.511,0.574,30.372,12731.645,0.52,2.82,211.334,0.435
359959,14,2,9,0.511,0.574,30.489,13165.393,0.52,2.82,211.334,0.435
359959,14,2,10,0.511,0.574,30.423,13341.206,0.52,2.82,211.334,0.435
359959,14,2,11,0.511,0.574,30.603,13482.477,0.52,2.82,211.334,0.435
359959,14,2,12,0.511,0.574,31.126,13769.701,0.52,2.82,211.334,0.435
359959,14,2,13,0.511,0.574,30.826,13595.552,0.52,2.82,211.334,0.435
359959,14,2,14,0.512,0.574,30.472,13506.942,0.52,2.82,211.334,0.435
359959,14,2,15,0.512,0.574,30.608,13566.596,0.52,2.82,211.334,0.435
359959,14,2,16,0.511,0.574,31.168,13918.623,0.52,2.82,211.334,0.435
359959,14,2,17,0.512,0.581,31.53,14222.475,0.52,2.82,211.334,0.435
359959,14,2,18,0.512,0.581,31.567,14192.541,0.52,2.82,211.334,0.435
359959,14,2,19,0.512,0.581,31.315,14043.878,0.52,2.82,211.334,0.435
359959,14,2,20,0.511,0.581,31.472,14174.88,0.52,2.82,211.334,0.435
359959,14,2,21,0.511,0.581,31.123,13880.499,0.52,2.82,211.334,0.435
359959,14,2,22,0.511,0.581,30.92,13757.235,0.52,2.82,211.334,0.435
359959,14,2,23,0.511,0.581,30.774,13709.537,0.52,2.82,211.334,0.435
359959,14,2,24,0.512,0.581,30.459,13525.671,0.52,2.82,211.334,0.435
359959,14,2,25,0.512,0.581,30.553,13659.787,0.52,2.82,211.334,0.435
359959,14,2,26,0.512,0.581,30.548,13615.187,0.52,2.82,211.334,0.435
359959,14,2,27,0.512,0.581,30.825,13769.328,0.52,2.82,211.334,0.435
359959,14,2,28,0.512,0.581,31.143,13984.656,0.52,2.82,211.334,0.435
359959,14,2,29,0.512,0.581,31.34,14065.409,0.52,2.82,211.334,0.435
359959,14,2,30,0.511,0.581,31.473,14115.299,0.52,2.82,211.334,0.435
359959,14,2,31,0.512,0.581,31.441,14104.939,0.52,2.82,211.334,0.435
359959,14,2,32,0.512,0.581,31.497,14135.868,0.52,2.82,211.334,0.435
359959,14,2,33,0.512,0.581,31.515,14152.384,0.52,2.82,211.334,0.435
359959,14,2,34,0.512,0.581,31.559,14277.891,0.52,2.82,211.334,0.435
359959,14,2,35,0.511,0.581,31.642,14296.714,0.52,2.82,211.334,0.435
359959,14,2,36,0.511,0.581,31.888,14418.977,0.52,2.82,211.334,0.435
359959,14,2,37,0.511,0.581,31.963,14506.282,0.52,2.82,211.334,0.435
359959,14,2,38,0.511,0.581,32.101,14659.474,0.52,2.82,211.334,0.435
359959,14,2,39,0.511,0.581,32.077,14645.792,0.52,2.82,211.334,0.435
359959,14,2,40,0.511,0.581,31.922,14549.783,0.52,2.82,211.334,0.435
359959,14,2,41,0.51,0.581,31.832,14533.119,0.52,2.82,211.334,0.435
359959,14,2,42,0.51,0.581,31.851,14507.564,0.52,2.82,211.334,0.435
359959,14,2,43,0.51,0.574,31.97,14606.275,0.52,2.82,211.334,0.435
359959,14,2,44,0.51,0.574,32.012,14640.678,0.52,2.82,211.334,0.435
359959,14,2,45,0.51,0.574,32.023,14672.761,0.52,2.82,211.334,0.435
359959,14,2,46,0.51,0.574,32.149,14778.676,0.52,2.82,211.334,0.435
359959,14,2,47,0.51,0.574,32.047,14718.421,0.52,2.82,211.334,0.435
359959,14,2,48,0.511,0.574,32.104,14750.751,0.52,2.82,211.334,0.435
359959,14,2,49,0.511,0.574,31.942,14660.178,0.52,2.82,211.334,0.435
168784,10,2,0,0.642,0.749,25.706,3887.188,0.831,3.961,151.529,0.638
168784,10,2,1,0.642,0.749,25.706,3887.188,0.831,3.961,151.529,0.638
168784,10,2,2,0.646,0.744,25.501,4200.921,0.831,3.961,151.529,0.638
168784,10,2,3,0.652,0.759,24.836,4244.368,0.831,3.961,151.529,0.638
168784,10,2,4,0.653,0.759,23.937,4080.589,0.831,3.961,151.529,0.638
168784,10,2,5,0.654,0.759,24.15,4208.993,0.831,3.961,151.529,0.638
168784,10,2,6,0.652,0.759,24.719,4158.106,0.831,3.961,151.529,0.638
168784,10,2,7,0.653,0.764,24.081,4079.15,0.831,3.961,151.529,0.638
168784,10,2,8,0.653,0.769,23.782,4007.799,0.831,3.961,151.529,0.638
168784,10,2,9,0.654,0.769,23.683,4007.572,0.831,3.961,151.529,0.638
168784,10,2,10,0.654,0.769,23.785,4091.192,0.831,3.961,151.529,0.638
168784,10,2,11,0.654,0.769,23.538,4111.127,0.831,3.961,151.529,0.638
168784,10,2,12,0.655,0.769,22.985,4087.726,0.831,3.961,151.529,0.638
168784,10,2,13,0.656,0.769,22.576,4064.725,0.831,3.961,151.529,0.638
168784,10,2,14,0.657,0.769,22.12,4038.372,0.831,3.961,151.529,0.638
168784,10,2,15,0.657,0.769,22.031,4083.018,0.831,3.961,151.529,0.638
168784,10,2,16,0.657,0.764,21.907,4082.959,0.831,3.961,151.529,0.638
168784,10,2,17,0.657,0.769,21.856,4043.814,0.831,3.961,151.529,0.638
